,0,1
0,48.96008,-123.26462
1,48.95928,-123.26564
2,48.95873,-123.26685
3,48.95844,-123.26826
4,48.95847,-123.26976
5,48.95882,-123.27102
6,48.95949,-123.27205
7,48.96034,-123.27263
8,48.96154,-123.27272
9,48.96269,-123.27213
10,48.96377,-123.271
11,48.96471,-123.26938
12,48.9656,-123.26663
13,48.96592,-123.26396
14,48.96582,-123.26127
15,48.96532,-123.25835
16,48.96393,-123.25426000000002
17,48.96302,-123.25241
18,48.96198,-123.2505
19,48.96086,-123.24852
20,48.95987,-123.24681
21,48.95873,-123.24488
22,48.95769,-123.24317
23,48.95667,-123.24151
24,48.95564,-123.2398
25,48.95365,-123.23655
26,48.95256,-123.23478
27,48.95017,-123.23088
28,48.94873,-123.22853
29,48.94618,-123.22449
30,48.94459000000001,-123.22203
31,48.9434,-123.22011
32,48.94202,-123.21784
33,48.94083,-123.21588
34,48.93738,-123.2104
35,48.93423,-123.20543
36,48.93306,-123.20361
37,48.93161,-123.20134
38,48.93012,-123.19898
39,48.9286,-123.19649
40,48.9243,-123.1894
41,48.92251,-123.18643
42,48.92082,-123.18361000000002
43,48.91906,-123.18064
44,48.91696,-123.17709
45,48.91493,-123.17373
46,48.9118,-123.16856
47,48.90989,-123.16542
48,48.90795,-123.16225
49,48.90602,-123.15907
50,48.90435,-123.15637
51,48.9024,-123.15323
