,0,1
0,49.06028,-123.40527
1,49.05571,-123.40471
2,49.05089,-123.40198999999998
3,49.04704,-123.39713
4,49.0441,-123.39236
5,49.04302,-123.39059
6,49.04007,-123.38572
7,49.03703,-123.38058
8,49.0341,-123.37553
9,49.03106,-123.3703
10,49.02778,-123.36468
11,49.0248,-123.3595
12,49.02073,-123.35246
13,49.01774,-123.34727
14,49.01474,-123.34208
15,49.01115,-123.3359
16,49.00692,-123.3284
17,49.00397,-123.32315
18,48.99996,-123.31593
19,48.99516,-123.3072
20,48.99196,-123.30134
21,48.98688,-123.29203
22,48.98389,-123.28666
23,48.98093,-123.28135
24,48.97792000000001,-123.27594
25,48.97495,-123.27052
26,48.96926,-123.26004
27,48.96462,-123.25157
28,48.96108,-123.24508
29,48.95649,-123.23659
30,48.9516,-123.22754
31,48.94777,-123.22048
32,48.94342,-123.21245
33,48.9395,-123.20523
34,48.93587,-123.19856
35,48.93192,-123.19132
36,48.92859,-123.18504
37,48.92464,-123.17772
38,48.91625,-123.16214
39,48.9092,-123.14929
