,0,1
0,48.90672,-123.06373
1,48.91268,-123.07475
2,48.91985,-123.08845
3,48.9225,-123.09343
4,48.92562,-123.09963
5,48.92895,-123.10638
6,48.93105,-123.11068
7,48.9332,-123.11498
8,48.93562,-123.11988
9,48.93718,-123.12287
10,48.93957,-123.12783
11,48.94177,-123.13213
12,48.94383,-123.13618
13,48.94652,-123.14133
14,48.94922,-123.14648
15,48.95142,-123.15035
16,48.95358,-123.15453
17,48.9555,-123.15792
18,48.95765,-123.16195
19,48.9599,-123.16588
20,48.9621,-123.16983
21,48.96517,-123.1756
22,48.96733,-123.17952
23,48.97072,-123.18562
24,48.97285,-123.18948
25,48.9753,-123.19403
26,48.97772,-123.19843
27,48.98232,-123.20675
28,48.9863,-123.21353
29,48.9908,-123.22137
30,48.9934,-123.2258
31,48.99558,-123.22978
32,48.99972,-123.2371
33,49.00197,-123.24097
34,49.00385,-123.24433
35,49.00608,-123.2483
36,49.00825,-123.25215
37,49.01302,-123.26065
38,49.01533,-123.26462
39,49.01762,-123.26863
40,49.01985,-123.27278
41,49.02582,-123.28327
42,49.02877,-123.2887
43,49.03217,-123.29463
44,49.03822,-123.30493
45,49.04313,-123.31303
46,49.04743,-123.32005
47,49.05142,-123.32707
48,49.05238,-123.3288
49,49.0547,-123.33285
50,49.0574,-123.33747
51,49.05972,-123.34158
52,49.06193,-123.34538
