,0,1
0,48.90271,-123.24855
1,48.90633,-123.24933
2,48.90979,-123.24983
3,48.91194,-123.24983
4,48.91483,-123.24956
5,48.9185,-123.24873
6,48.92066,-123.24832
7,48.92204,-123.24812
8,48.92475,-123.24769
9,48.92701,-123.24859
10,48.92842,-123.24905
11,48.93052,-123.24983
12,48.93202,-123.25046
13,48.93415,-123.25135
14,48.937,-123.2526
15,48.94121,-123.25433999999998
16,48.94257,-123.25496
17,48.94468,-123.25591
18,48.9483,-123.25747
19,48.9517,-123.25867
20,48.95692,-123.26062
21,48.96178,-123.26223
22,48.9647,-123.26305
23,48.9668,-123.26362
24,48.9689,-123.26412
25,48.97173,-123.26468
26,48.97503,-123.26564
27,48.9833,-123.26827
28,48.98585,-123.26908
29,48.98977,-123.27023
30,48.99858,-123.27299
31,49.0045,-123.27517
32,49.00574,-123.27567
33,49.00826,-123.2767
34,49.01251,-123.27884
35,49.01713,-123.28041
36,49.02299,-123.28233
37,49.02508,-123.28304
38,49.0313,-123.28532
39,49.03413,-123.28637
40,49.03842,-123.28803
41,49.03992,-123.28869
