,0,1
0,48.90369000000001,-123.27924
1,48.90696,-123.27839
2,48.91001,-123.27795
3,48.91515,-123.27718
4,48.91866,-123.27707
5,48.92255,-123.27707
6,48.92603,-123.27704
7,48.92997,-123.27701
8,48.93349,-123.27714
9,48.94047,-123.27749
10,48.94392,-123.27785
11,48.95219,-123.27869
12,48.95883,-123.27947
13,48.963,-123.28011
14,48.96901,-123.27961
15,48.97241,-123.2791
16,48.97663,-123.27847
17,48.98145,-123.27763
18,48.98591,-123.27683
19,48.99172,-123.2762
20,48.99502,-123.27784
21,48.99865,-123.28019
22,49.00187,-123.28242
23,49.00962,-123.28772
24,49.01454,-123.29108
25,49.01808,-123.29349
26,49.02124,-123.29567
27,49.03177,-123.30302
28,49.03467,-123.30504
29,49.03813,-123.30745
30,49.04127,-123.30953
31,49.04488,-123.31162
32,49.04676,-123.31273
33,49.04994,-123.31445
34,49.05351,-123.31634
35,49.05664,-123.318
36,49.05952,-123.31932
