,lat,lon
0,49.060593,-123.32481
1,49.05712,-123.32068
2,49.053726,-123.31622
3,49.05033,-123.31176
4,49.046936,-123.3073
5,49.04354,-123.30284
6,49.040146,-123.29838
7,49.036755,-123.29392
8,49.03336,-123.28946
9,49.029964,-123.285
10,49.02657,-123.28054
11,49.023174,-123.27608
12,49.01978,-123.27162
13,49.016384,-123.26716
14,49.01299,-123.2627
15,49.009594,-123.25824
16,49.006203,-123.25378
17,49.003174,-123.24862
18,49.00015,-123.243454
19,48.997124,-123.23829
20,48.9941,-123.23312
21,48.991074,-123.22796
22,48.988045,-123.22279
23,48.98502,-123.217636
24,48.981995,-123.21247
25,48.97897,-123.207306
26,48.975945,-123.20214
27,48.97292,-123.196976
28,48.96989,-123.19181
29,48.966866,-123.18665
30,48.96384,-123.18149
31,48.960815,-123.17632
32,48.95779,-123.17116
33,48.95476,-123.16599
34,48.951736,-123.16083
35,48.94871,-123.15567
36,48.945686,-123.150505
37,48.94266,-123.14534
38,48.939632,-123.140175
39,48.936607,-123.13501
40,48.933582,-123.129845
41,48.930557,-123.12469
42,48.927532,-123.11952
43,48.92433,-123.11498
44,48.92113,-123.11045
45,48.91793,-123.10591
46,48.91473,-123.10138
47,48.91153,-123.09684
48,48.908333,-123.09231
49,48.905132,-123.08777
