,0,1
0,49.0544,-123.4143
1,49.05281,-123.41245
2,49.05125,-123.41066
3,49.04974,-123.40887
4,49.04825,-123.40706000000002
5,49.04668,-123.40519
6,49.04486,-123.40319
7,49.0433,-123.40136
8,49.04185,-123.39947
9,49.04047,-123.39731
10,49.03911,-123.39525
11,49.03754,-123.39284
12,49.03617,-123.39064
13,49.03485,-123.38853
14,49.03352,-123.3863
15,49.03223,-123.38407
16,49.03096,-123.38187
17,49.02956,-123.37961
18,49.02757,-123.37646
19,49.02599,-123.3739
20,49.02432,-123.37100000000001
21,49.02295,-123.36861
22,49.02173,-123.36666
23,49.02006,-123.36404
24,49.01871,-123.36177
25,49.01575,-123.35646
26,49.01413,-123.35397
27,49.01277,-123.35163
28,49.01152,-123.34929
29,49.00873,-123.3442
30,49.00525,-123.33823999999998
31,49.00381,-123.33555
32,49.00263,-123.33352
33,49.00103,-123.33089
34,48.99971,-123.32852
35,48.99838,-123.32614
36,48.99717,-123.32406
37,48.9958,-123.3217
38,48.99229,-123.31556
39,48.99072,-123.31281
40,48.98727,-123.3064
41,48.98519,-123.30241
42,48.98378,-123.30003
43,48.9822,-123.29703
44,48.98062,-123.29422
