,0,1
0,48.98545,-123.41532
1,48.98233,-123.41106
2,48.98028,-123.40832
3,48.97867,-123.40623
4,48.97521,-123.40166
5,48.9736,-123.39948
6,48.97141,-123.3965
7,48.9695,-123.39393
8,48.96813,-123.39211
9,48.96643,-123.38984
10,48.96453,-123.38731
11,48.96189,-123.38403
12,48.9593,-123.38077
13,48.95694,-123.37792
14,48.95354,-123.37362
15,48.95181,-123.37159
16,48.94984,-123.36934
17,48.94758,-123.36669
18,48.9457,-123.3644
19,48.94374000000001,-123.36202
20,48.94183,-123.35968
21,48.93989000000001,-123.35727
22,48.93771,-123.35459
23,48.93471,-123.35081
24,48.93285,-123.34848
25,48.9308,-123.34572
26,48.92839,-123.34231
27,48.92627,-123.33976
28,48.92241,-123.33523999999998
29,48.92066,-123.33315
30,48.91888,-123.33102
31,48.91667,-123.32836
32,48.91464000000001,-123.32593
33,48.91265,-123.32348
34,48.91085,-123.32131
35,48.909,-123.31927
36,48.90714000000001,-123.31715
37,48.90251,-123.31265
