,0,1
0,49.01894,-123.41697
1,49.01695,-123.41393
2,49.01438,-123.41003
3,49.01247,-123.40693
4,49.01048,-123.40396
5,49.00854,-123.40089
6,49.00668,-123.39773999999998
7,49.00439,-123.39413
8,49.00182,-123.39019
9,48.99982,-123.38711
10,48.99755,-123.38358
11,48.99555,-123.38044
12,48.9913,-123.37391
13,48.98928,-123.3708
14,48.98636,-123.3666
15,48.98285,-123.3614
16,48.97828,-123.35426
17,48.97497,-123.3486
18,48.97272,-123.34479
19,48.96826,-123.33729
20,48.96602,-123.33362
21,48.96358,-123.33023
22,48.96166,-123.32728
23,48.95719,-123.32021
24,48.95509000000001,-123.31644
25,48.9528,-123.31305
26,48.95049,-123.30984
27,48.94857,-123.3068
28,48.94324,-123.2987
29,48.9366,-123.28696
30,48.93368,-123.28136
31,48.93194,-123.27916
32,48.93019,-123.27577
33,48.92886,-123.27176
34,48.9273,-123.26816
35,48.92571,-123.26449
36,48.92411,-123.26069
37,48.92263,-123.25685
38,48.92124,-123.25299
39,48.91986,-123.24988
40,48.91827,-123.24617
41,48.91658,-123.24255
42,48.91481,-123.23897
43,48.91309,-123.23547
44,48.91145,-123.23189
45,48.90986,-123.22816
46,48.90805,-123.22464
47,48.90626,-123.2211
48,48.90464,-123.21635
49,48.90267,-123.21317
