,0,1
0,48.90278,-123.19562
1,48.90708,-123.19822
2,48.91137,-123.20083
3,48.91468,-123.20279
4,48.91983,-123.20605
5,48.92423,-123.20869
6,48.92766,-123.21071
7,48.93132,-123.21292
8,48.93812,-123.21677
9,48.94105,-123.21899
10,48.94396,-123.22086000000002
11,48.94718,-123.22267
12,48.95367,-123.22633
13,48.95734,-123.22857
14,48.9619,-123.23143
15,48.9661,-123.23393
16,48.97127,-123.23691
17,48.97443,-123.2389
18,48.97775,-123.24083
19,48.9807,-123.24252
20,48.98705,-123.24615
21,48.99481,-123.25068
22,48.99795,-123.25249
23,49.0012,-123.25429
24,49.00673,-123.25738
25,49.01525,-123.26208
26,49.01856,-123.26382
27,49.02524,-123.26728
28,49.02863,-123.26908
29,49.03194000000001,-123.27081
30,49.03538,-123.27268
31,49.03874,-123.27436000000002
32,49.04349000000001,-123.27724
33,49.04661,-123.27951000000002
34,49.05119000000001,-123.28293
35,49.05525,-123.28614
36,49.06037,-123.29108
