,0,1
0,49.00543,-123.41657
1,49.00443,-123.41588
2,49.00343,-123.41511
3,49.00072,-123.41276
4,48.99898,-123.41108
5,48.9974,-123.40948
6,48.99585,-123.4078
7,48.99508,-123.40686
8,48.99386,-123.40542
9,48.99275,-123.40408
10,48.9913,-123.4019
11,48.9898,-123.39967
12,48.98852,-123.39785
13,48.98724,-123.39588
14,48.98611,-123.39396
15,48.9827,-123.38862
16,48.98145,-123.38655
17,48.97967,-123.38392
18,48.97803,-123.38106
19,48.97548,-123.37661
20,48.97401,-123.37409
21,48.97325,-123.3729
22,48.97119,-123.37059
23,48.96916,-123.36806
24,48.96699,-123.36526
25,48.96607,-123.36399
26,48.96463,-123.36193
27,48.96384000000001,-123.3609
28,48.96233,-123.36003999999998
29,48.96125,-123.35923
30,48.96056,-123.35865
31,48.95918,-123.35748999999998
32,48.95851,-123.35701
33,48.9575,-123.35629
34,48.95681,-123.35572
35,48.95609,-123.35518
36,48.95524,-123.35458
37,48.9545,-123.35405
38,48.95381,-123.35353
39,48.95292,-123.35295
40,48.9521,-123.35236
41,48.95104,-123.35163
42,48.95027,-123.35113
43,48.94925,-123.35035
44,48.94847,-123.34977
45,48.94743,-123.34915
46,48.9464,-123.3484
47,48.94508,-123.34743
48,48.94432000000001,-123.34689
49,48.94351,-123.34636
50,48.94241,-123.34577
51,48.94077,-123.34465
52,48.93985,-123.34398
53,48.93895,-123.34322
54,48.9364,-123.34158
55,48.93382,-123.34007
56,48.93281,-123.3394
57,48.93213,-123.33893
58,48.93133,-123.33842
59,48.93047,-123.33773
60,48.92962,-123.33701
61,48.92893,-123.33644
62,48.92831,-123.3359
63,48.92761,-123.33509
64,48.92697,-123.33444
65,48.92627,-123.33387
66,48.92556,-123.33329
67,48.92477,-123.33267
68,48.92348,-123.33205
69,48.9224,-123.33149
70,48.92114,-123.33065
71,48.92039000000001,-123.33025
72,48.91945,-123.32977
73,48.91842000000001,-123.32932
74,48.91774,-123.32881
75,48.91693,-123.32798
76,48.91593,-123.32698
77,48.9153,-123.32647
78,48.91436,-123.32576
79,48.91367,-123.32523
80,48.91268,-123.32459
81,48.91173,-123.32383
82,48.91116,-123.3232
83,48.90995,-123.32218
84,48.90906,-123.32146000000002
85,48.90827,-123.32082
86,48.90756,-123.32017
87,48.906000000000006,-123.31884
88,48.9055,-123.31844
89,48.90513,-123.31808999999998
90,48.90485,-123.31767
91,48.9041,-123.31662
92,48.90302,-123.31558
