,0,1
0,49.05931,-123.38485
1,49.0519,-123.37696
2,49.05086,-123.37592
3,49.04898,-123.37405
4,49.04697,-123.37209
5,49.04469,-123.36983
6,49.04267,-123.3678
7,49.04066,-123.36575
8,49.03724,-123.36218
9,49.03503,-123.35985
10,49.03254,-123.35671
11,49.02933,-123.35262
12,49.02631,-123.34859
13,49.02403,-123.34545
14,49.02217,-123.34291
15,49.01957,-123.33925
16,49.01653,-123.33489
17,49.01411,-123.33141
18,49.0102,-123.32578999999998
19,49.00832,-123.3231
20,49.00429000000001,-123.31688
21,49.0014,-123.31168999999998
22,48.99825,-123.30591
23,48.99672,-123.30301
24,48.99523,-123.30015
25,48.99345,-123.29663
26,48.99173,-123.29318
27,48.99022,-123.29015
28,48.98725,-123.28428999999998
29,48.98477000000001,-123.27934
30,48.98222,-123.27401
31,48.98082,-123.27104
32,48.97643,-123.26156
33,48.9729,-123.25364
34,48.97024,-123.2477
35,48.96656,-123.23931
36,48.96379,-123.23274
37,48.96244,-123.22955
38,48.96048,-123.22501
39,48.96009,-123.22411
40,48.95884,-123.22127
41,48.95762,-123.21839
42,48.95621,-123.21517
43,48.95483,-123.21195
44,48.95357,-123.20907
45,48.9523,-123.20557
46,48.9524,-123.20206
47,48.9526,-123.19846
48,48.9528,-123.19502
49,48.95311,-123.18978
50,48.95331,-123.18652
51,48.95349,-123.18289
52,48.95378,-123.17861
53,48.95412,-123.17398
54,48.95436,-123.1705
55,48.95468,-123.167
56,48.95509000000001,-123.16254
57,48.95543,-123.1589
58,48.95571,-123.15553
59,48.9558,-123.1492
60,48.95588,-123.14518
61,48.95562,-123.14009
62,48.95471,-123.13717
63,48.95355,-123.1337
64,48.95202000000001,-123.12907
65,48.95022,-123.12348
66,48.94904,-123.11996
67,48.94812,-123.11718
68,48.94708,-123.11412
69,48.94564,-123.10965
70,48.94465,-123.10657
71,48.94364,-123.10345
72,48.9413,-123.09623
73,48.93921,-123.08993999999998
74,48.9381,-123.08653
75,48.93641,-123.08155
76,48.93393,-123.0738
77,48.93256,-123.06944
78,48.93146,-123.06605
79,48.92877,-123.05777
80,48.92762000000001,-123.05438999999998
81,48.92658,-123.05136
82,48.92554000000001,-123.04831
